App ID,App Name,RandomID,Email,Paket,Buchungsdatum,native,iOS Audience,Android Audience,Gesamt Audience,Transaktionen,ModuleEmails,Neue Besucher,Wiederkehrende Besucher,Besucher Gesamt,Gesendete PN,Submission Service Apple,Submission Service Google,Submission Service Amazon,AppStore URL,Google Play URL,Last Publish Date,TEXT,MAP,COUPON,GALLERY,NEWSCENTER,EVENTS,CONTACT,SUBMENU,SUBMENU_SEPARATOR,RESERVATION,VIDEO,USER_MODULE,RESERVATION2,RESERVATION3,RESERVATION4,COLLECTION_PRODUCT,COLLECTION_MENU,COLLECTION_BRANCH,BUSINESS_HOURS,PDF,TABLE_RESERVATION,FORMS,EXTERNAL_SERVICE_APPOINTMENT,WEBSITE,EXTERNAL_SERVICE_REVIEW,STAMPCARD,Eingelöste Stempelkarten,Stempelkartennutzer,Insgesamt verteilte Stempel,Gesamt Nutzer
,,56f507cb-9862-486c-b9e9-7537fddc293b,,,,,0,0,0,0,0,6,1,7,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ec0bd67e-e209-4d11-8db2-22940d9f7d92,,,,,6,1,7,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ffad601a-229b-470d-a65c-93f177b0d705,,,,,0,0,0,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,f9cde1c6-a5bc-446f-b617-ef5c6030951b,,,,,0,0,0,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,89eaa091-3fd4-40d1-8f5c-3a26a622bc75,,,,,1,9,10,0,0,4,-2,2,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8496bab4-078c-4b19-b75a-03cd5fb6e54c,,,,,4,4,8,0,0,0,0,0,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,fd8ed2da-b2d9-4f62-9fd2-1ba47fdcc2a3,,,,,55,128,183,0,0,35,20,55,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9c214c50-00f2-48cf-923c-bc2b80e8084d,,,,,5,8,13,0,0,58,8,66,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,acb47d4b-e0b3-4843-a604-8baef49e08e6,,,,,14,236,250,0,0,83,17,100,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,d632f2bf-5946-496d-b61d-01720e8cc217,,,,,15,12,27,0,0,32,32,64,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2dfe1743-a905-4aad-b9e6-f879a25ef56d,,,,,21,11,32,0,1,77,21,98,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,a0d20e4e-2f41-40a8-9bba-5b4f6edca050,,,,,19,77,96,0,0,16,3,19,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,b0c25315-d973-40df-9680-01dd10bfa9c3,,,,,48,119,167,0,0,31,21,52,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,121c3f7e-edff-4c3a-9ab3-1566daf551d5,,,,,8,10,18,0,0,46,4,50,0,,,,,,2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
